family,N=16384,N=32768,N=65536
"1{0,1}^{0}1",0.00091552734375,0.000457763671875,0.0002288818359375
"1{0,1}^{1}1",0.00067138671875,0.000335693359375,0.0001678466796875
"1{0,1}^{2}1",0.00079345703125,0.000396728515625,0.0001983642578125
"1{0,1}^{3}1",0.00042724609375,0.000213623046875,0.0001068115234375
"1{0,1}^{4}1",0.00018310546875,9.1552734375e-05,4.57763671875e-05
