name,patterns,k,max_abs_nonzero,empirical_k_nc,argmax_m
K4_01_10,01 10,5,0.3090170161831759,No,1
K4_01_10,01 10,6,0.5000000111758706,No,1
K4_01_10,01 10,7,0.6234898091631759,No,1
K4_01_10,01 10,8,0.7071067864549033,No,1
K4_01_010_110,01 010 110,2,1.0,No,1
K4_01_010_110,01 010 110,3,0.5000000111758708,No,1
K4_01_010_110,01 010 110,4,0.0020751953125,Yes,45
K4_01_010_110,01 010 110,5,0.3090170161831759,No,1
K4_01_010_110,01 010 110,6,0.5000000111758706,No,1
K4_01_010_110,01 010 110,7,0.6234898091631759,No,1
K4_01_010_110,01 010 110,8,0.7071067864549033,No,1
K4_10_001_101,10 001 101,2,1.0,No,1
K4_10_001_101,10 001 101,3,0.5000000111758708,No,1
K4_10_001_101,10 001 101,4,0.0020751953125,Yes,45
K4_10_001_101,10 001 101,5,0.3090170161831759,No,1
K4_10_001_101,10 001 101,6,0.5000000111758706,No,1
K4_10_001_101,10 001 101,7,0.6234898091631759,No,1
K4_10_001_101,10 001 101,8,0.7071067864549033,No,1
K4_001_010_101_110,001 010 101 110,2,1.0,No,1
K4_001_010_101_110,001 010 101 110,3,0.5000000111758708,No,1
K4_001_010_101_110,001 010 101 110,4,0.0020751953125,Yes,45
K4_001_010_101_110,001 010 101 110,5,0.3090170161831759,No,1
K4_001_010_101_110,001 010 101 110,6,0.5000000111758706,No,1
K4_001_010_101_110,001 010 101 110,7,0.6234898091631759,No,1
K4_001_010_101_110,001 010 101 110,8,0.7071067864549033,No,1
K4_1_01_10,1 01 10,2,0.3359375,No,64
K4_1_01_10,1 01 10,3,0.18894764232953828,No,1
K4_1_01_10,1 01 10,4,0.0012831906763689116,Yes,51
K4_1_01_10,1 01 10,5,0.15920974933472082,No,1
K4_1_01_10,1 01 10,6,0.288763232867146,No,1
K4_1_01_10,1 01 10,7,0.39379237778757076,No,1
K4_1_01_10,1 01 10,8,0.47977078856241534,No,1
K4_1_01_001_101,1 01 001 101,2,0.3359375,No,64
K4_1_01_001_101,1 01 001 101,3,0.3406445889133622,No,1
K4_1_01_001_101,1 01 001 101,4,0.00177107154889486,Yes,43
K4_1_01_001_101,1 01 001 101,5,0.14134368033992528,No,1
K4_1_01_001_101,1 01 001 101,6,0.14715990070991858,No,64
K4_1_01_001_101,1 01 001 101,7,0.24715681016309685,No,32
K4_1_01_001_101,1 01 001 101,8,0.3400996539434486,No,16
K4_1_01_010_110,1 01 010 110,2,0.3359375,No,64
K4_1_01_010_110,1 01 010 110,3,0.18894764232953828,No,1
K4_1_01_010_110,1 01 010 110,4,0.0012831906763689116,Yes,51
K4_1_01_010_110,1 01 010 110,5,0.15920974933472082,No,1
K4_1_01_010_110,1 01 010 110,6,0.288763232867146,No,1
K4_1_01_010_110,1 01 010 110,7,0.39379237778757076,No,1
K4_1_01_010_110,1 01 010 110,8,0.47977078856241534,No,1
K4_1_10_001_101,1 10 001 101,2,0.3359375,No,64
K4_1_10_001_101,1 10 001 101,3,0.18894764232953828,No,1
K4_1_10_001_101,1 10 001 101,4,0.0012831906763689116,Yes,51
K4_1_10_001_101,1 10 001 101,5,0.15920974933472082,No,1
K4_1_10_001_101,1 10 001 101,6,0.288763232867146,No,1
K4_1_10_001_101,1 10 001 101,7,0.39379237778757076,No,1
K4_1_10_001_101,1 10 001 101,8,0.47977078856241534,No,1
K4_1_10_010_110,1 10 010 110,2,0.3359375,No,64
K4_1_10_010_110,1 10 010 110,3,0.2500523199527773,No,1
K4_1_10_010_110,1 10 010 110,4,0.0017710715488949125,Yes,43
K4_1_10_010_110,1 10 010 110,5,0.21988438022785708,No,1
K4_1_10_010_110,1 10 010 110,6,0.38186800009903366,No,1
K4_1_10_010_110,1 10 010 110,7,0.49985280022670964,No,1
K4_1_10_010_110,1 10 010 110,8,0.587686313149776,No,1
K4_1_11_011_111,1 11 011 111,2,0.3359375,No,64
K4_1_11_011_111,1 11 011 111,3,0.25009155832026475,No,1
K4_1_11_011_111,1 11 011 111,4,0.0017710715488949156,Yes,43
K4_1_11_011_111,1 11 011 111,5,0.18718328953992577,No,1
