name,patterns,N,k,max_abs_nonzero,empirical_k_nc,argmax_m,argmax_symbolic
{01},01,4096,8,0.8536249151831067,No,1,(1/4096) * (2049 + 1023*zeta^1 + 1024*zeta^7)
{10},10,4096,2,0.00927734375,No,53,(1/4096) * (2067 + 2029*zeta^1)
{10},10,4096,3,0.2503659431087823,No,64,(1/4096) * (2048 + 992*zeta^1 + 1056*zeta^2)
{10},10,4096,4,0.5002440810494413,No,64,(1/4096) * (2048 + 992*zeta^1 + 1056*zeta^3)
{10},10,4096,5,0.6546771724754319,No,64,(1/4096) * (2048 + 992*zeta^1 + 1056*zeta^4)
{10},10,4096,6,0.7501220603800091,No,64,(1/4096) * (2048 + 992*zeta^1 + 1056*zeta^5)
{10},10,4096,7,0.8118368171604889,No,64,(1/4096) * (2048 + 992*zeta^1 + 1056*zeta^6)
{10},10,4096,8,0.8536248947317397,No,64,(1/4096) * (2048 + 992*zeta^1 + 1056*zeta^7)
"{01,10,11}",01 10 11,4096,2,6.123233995736766e-17,Yes,1,(1/4096) * (2048 + 2048*zeta^1)
"{01,10,11}",01 10 11,4096,3,0.3406542179280466,No,1,(1/4096) * (1902 + 439*zeta^1 + 1755*zeta^2)
"{01,10,11}",01 10 11,4096,4,0.49980469704046976,No,1,(1/4096) * (1843 + 410*zeta^1 + 205*zeta^2 + 1638*zeta^3)
"{01,10,11}",01 10 11,4096,5,0.5952784207960209,No,1,(1/4096) * (1817 + 396*zeta^1 + 198*zeta^2 + 99*zeta^3 + 1586*zeta^4)
"{01,10,11}",01 10 11,4096,6,0.6612071413886835,No,1,(1/4096) * (1804 + 390*zeta^1 + 195*zeta^2 + 98*zeta^3 + 49*zeta^4 + 1560*zeta^5)
"{01,10,11}",01 10 11,4096,7,0.711859635367871,No,1,(1/4096) * (1798 + 387*zeta^1 + 194*zeta^2 + 97*zeta^3 + 48*zeta^4 + 24*zeta^5 + 1548*zeta^6)
"{01,10,11}",01 10 11,4096,8,0.752339713429204,No,1,(1/4096) * (1795 + 386*zeta^1 + 193*zeta^2 + 96*zeta^3 + 48*zeta^4 + 24*zeta^5 + 12*zeta^6 + 1542*zeta^7)
A_3,101 111,4096,2,6.123233995736766e-17,Yes,1,(1/4096) * (2048 + 2048*zeta^1)
A_3,101 111,4096,3,0.29611419768173053,No,1,(1/4096) * (1939 + 585*zeta^1 + 1572*zeta^2)
A_3,101 111,4096,4,0.480529285122003,No,1,(1/4096) * (1894 + 564*zeta^1 + 154*zeta^2 + 1484*zeta^3)
A_3,101 111,4096,5,0.5980123977027,No,1,(1/4096) * (1875 + 553*zeta^1 + 148*zeta^2 + 74*zeta^3 + 1446*zeta^4)
A_3,101 111,4096,6,0.67573622184196,No,1,(1/4096) * (1865 + 548*zeta^1 + 146*zeta^2 + 74*zeta^3 + 37*zeta^4 + 1426*zeta^5)
A_3,101 111,4096,7,0.7319981421002,No,1,(1/4096) * (1860 + 546*zeta^1 + 146*zeta^2 + 73*zeta^3 + 36*zeta^4 + 18*zeta^5 + 1417*zeta^6)
A_3,101 111,4096,8,0.7747247857358281,No,1,(1/4096) * (1858 + 546*zeta^1 + 145*zeta^2 + 72*zeta^3 + 36*zeta^4 + 18*zeta^5 + 9*zeta^6 + 1412*zeta^7)
A_4,1001 1011 1101 1111,4096,2,6.123233995736766e-17,Yes,1,(1/4096) * (2048 + 2048*zeta^1)
A_4,1001 1011 1101 1111,4096,3,0.2883803075955939,No,2,(1/4096) * (1892 + 595*zeta^1 + 1609*zeta^2)
A_4,1001 1011 1101 1111,4096,4,0.46592983022066004,No,2,(1/4096) * (1844 + 536*zeta^1 + 204*zeta^2 + 1512*zeta^3)
A_4,1001 1011 1101 1111,4096,5,0.582815872796309,No,1,(1/4096) * (1853 + 606*zeta^1 + 176*zeta^2 + 57*zeta^3 + 1404*zeta^4)
A_4,1001 1011 1101 1111,4096,6,0.6695691395101636,No,1,(1/4096) * (1846 + 604*zeta^1 + 175*zeta^2 + 55*zeta^3 + 27*zeta^4 + 1389*zeta^5)
A_4,1001 1011 1101 1111,4096,7,0.7323980797768829,No,1,(1/4096) * (1844 + 603*zeta^1 + 173*zeta^2 + 54*zeta^3 + 27*zeta^4 + 13*zeta^5 + 1382*zeta^6)
A_4,1001 1011 1101 1111,4096,8,0.7786416175715581,No,1,(1/4096) * (1843 + 601*zeta^1 + 172*zeta^2 + 54*zeta^3 + 27*zeta^4 + 13*zeta^5 + 6*zeta^6 + 1380*zeta^7)
A_5,10001 10011 10101 10111 11001 11011 11101 11111,4096,2,6.123233995736766e-17,Yes,1,(1/4096) * (2048 + 2048*zeta^1)
A_5,10001 10011 10101 10111 11001 11011 11101 11111,4096,3,0.29101961888382505,No,4,(1/4096) * (1897 + 588*zeta^1 + 1611*zeta^2)
A_5,10001 10011 10101 10111 11001 11011 11101 11111,4096,4,0.46961183792608174,No,4,(1/4096) * (1848 + 528*zeta^1 + 200*zeta^2 + 1520*zeta^3)
A_5,10001 10011 10101 10111 11001 11011 11101 11111,4096,5,0.5858711301179349,No,4,(1/4096) * (1829 + 516*zeta^1 + 154*zeta^2 + 117*zeta^3 + 1480*zeta^4)
A_5,10001 10011 10101 10111 11001 11011 11101 11111,4096,6,0.6686038294257733,No,2,(1/4096) * (1841 + 584*zeta^1 + 170*zeta^2 + 59*zeta^3 + 37*zeta^4 + 1405*zeta^5)
A_5,10001 10011 10101 10111 11001 11011 11101 11111,4096,7,0.729099994876575,No,2,(1/4096) * (1835 + 580*zeta^1 + 169*zeta^2 + 59*zeta^3 + 29*zeta^4 + 25*zeta^5 + 1399*zeta^6)
A_5,10001 10011 10101 10111 11001 11011 11101 11111,4096,8,0.77660702093767,No,1,(1/4096) * (1829 + 610*zeta^1 + 193*zeta^2 + 56*zeta^3 + 19*zeta^4 + 10*zeta^5 + 7*zeta^6 + 1372*zeta^7)
K4_01_001_101,01 001 101,4096,2,1.0,No,1,(1/4096) * (4096)
K4_01_001_101,01 001 101,4096,3,0.25036630021367556,No,1,(1/4096) * (2049 + 1024*zeta^1 + 1023*zeta^2)
K4_01_001_101,01 001 101,4096,4,0.00927734375,No,53,(1/4096) * (2029 + 2067*zeta^2)
K4_01_001_101,01 001 101,4096,5,0.14233345671339145,No,3,(1/4096) * (1790 + 769*zeta^2 + 1282*zeta^3 + 255*zeta^4)
K4_01_001_101,01 001 101,4096,6,0.25036630021367545,No,1,(1/4096) * (2049 + 1023*zeta^2 + 1024*zeta^4)
K4_01_001_101,01 001 101,4096,7,0.38903807285874986,No,1,(1/4096) * (2049 + 1023*zeta^2 + 1024*zeta^5)
